onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
54.8080000000	n/a	n/a	STATUS	n/a	n/a	S111
58.8960000000	n/a	n/a	STATUS	n/a	n/a	S111
62.3760000000	n/a	n/a	STATUS	n/a	n/a	S111
101.4600000000	n/a	n/a	STATUS	n/a	n/a	S111
105.0680000000	n/a	n/a	STATUS	n/a	n/a	S111
109.1720000000	n/a	n/a	STATUS	n/a	n/a	S111
113.1320000000	n/a	n/a	STATUS	n/a	n/a	S111
116.7800000000	n/a	n/a	STATUS	n/a	n/a	S111
121.2480000000	n/a	n/a	STATUS	n/a	n/a	S111
125.0640000000	n/a	n/a	STATUS	n/a	n/a	S111
129.0880000000	n/a	n/a	STATUS	n/a	n/a	S111
132.9240000000	n/a	n/a	STATUS	n/a	n/a	S111
136.9120000000	n/a	n/a	STATUS	n/a	n/a	S111
164.6200000000	n/a	n/a	STATUS	n/a	n/a	S111
169.5680000000	n/a	n/a	STATUS	n/a	n/a	S111
174.1200000000	n/a	n/a	STATUS	n/a	n/a	S111
178.9320000000	n/a	n/a	STATUS	n/a	n/a	S111
184.4320000000	n/a	n/a	STATUS	n/a	n/a	S111
189.5360000000	n/a	n/a	STATUS	n/a	n/a	S111
195.6600000000	n/a	n/a	STATUS	n/a	n/a	S111
200.2660000000	n/a	n/a	STATUS	n/a	n/a	S111
233.5560000000	n/a	n/a	STATUS	n/a	n/a	S 12
235.5580000000	n/a	n/a	Right Button	n/a	n/a	S 20
236.5080000000	n/a	n/a	STATUS	n/a	n/a	S200
237.4260000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
240.5620000000	n/a	n/a	STATUS	n/a	n/a	S 12
241.1580000000	n/a	n/a	Right Button	n/a	n/a	S 20
242.5300000000	n/a	n/a	STATUS	n/a	n/a	S200
243.4640000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
246.2660000000	n/a	n/a	STATUS	n/a	n/a	S 11
247.4780000000	n/a	n/a	Left Button	n/a	n/a	S 10
248.5340000000	n/a	n/a	STATUS	n/a	n/a	S200
249.4860000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
252.1380000000	n/a	n/a	STATUS	n/a	n/a	S 13
253.2980000000	n/a	n/a	Right Button	n/a	n/a	S 20
254.2220000000	n/a	n/a	STATUS	n/a	n/a	S201
255.0560000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
257.9260000000	n/a	n/a	STATUS	n/a	n/a	S 11
258.9100000000	n/a	n/a	Right Button	n/a	n/a	S 20
259.9440000000	n/a	n/a	STATUS	n/a	n/a	S200
260.7780000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
264.0300000000	n/a	n/a	STATUS	n/a	n/a	S 13
265.2660000000	n/a	n/a	Left Button	n/a	n/a	S 10
266.6820000000	n/a	n/a	STATUS	n/a	n/a	S201
267.6820000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
270.6520000000	n/a	n/a	STATUS	n/a	n/a	S 14
271.0980000000	n/a	n/a	Left Button	n/a	n/a	S 10
272.4020000000	n/a	n/a	STATUS	n/a	n/a	S201
273.2700000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
276.6220000000	n/a	n/a	STATUS	n/a	n/a	S 14
277.7300000000	n/a	n/a	Right Button	n/a	n/a	S 20
279.2580000000	n/a	n/a	STATUS	n/a	n/a	S201
280.2580000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
283.4280000000	n/a	n/a	STATUS	n/a	n/a	S 12
284.5980000000	n/a	n/a	Right Button	n/a	n/a	S 20
286.0960000000	n/a	n/a	STATUS	n/a	n/a	S200
286.9640000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
289.8320000000	n/a	n/a	STATUS	n/a	n/a	S 14
291.5260000000	n/a	n/a	Left Button	n/a	n/a	S 10
292.5840000000	n/a	n/a	STATUS	n/a	n/a	S201
293.4180000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
296.5380000000	n/a	n/a	STATUS	n/a	n/a	S 12
297.3780000000	n/a	n/a	Left Button	n/a	n/a	S 10
298.6560000000	n/a	n/a	STATUS	n/a	n/a	S200
