onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
40.3660000000	n/a	n/a	STATUS	n/a	n/a	S111
44.2400000000	n/a	n/a	STATUS	n/a	n/a	S111
47.9760000000	n/a	n/a	STATUS	n/a	n/a	S111
84.8200000000	n/a	n/a	STATUS	n/a	n/a	S111
88.2680000000	n/a	n/a	STATUS	n/a	n/a	S111
91.7680000000	n/a	n/a	STATUS	n/a	n/a	S111
95.3800000000	n/a	n/a	STATUS	n/a	n/a	S111
99.0920000000	n/a	n/a	STATUS	n/a	n/a	S111
102.8720000000	n/a	n/a	STATUS	n/a	n/a	S111
106.5640000000	n/a	n/a	STATUS	n/a	n/a	S111
110.1720000000	n/a	n/a	STATUS	n/a	n/a	S111
113.8360000000	n/a	n/a	STATUS	n/a	n/a	S111
117.5960000000	n/a	n/a	STATUS	n/a	n/a	S111
143.5480000000	n/a	n/a	STATUS	n/a	n/a	S111
149.2640000000	n/a	n/a	STATUS	n/a	n/a	S111
154.9040000000	n/a	n/a	STATUS	n/a	n/a	S111
160.4240000000	n/a	n/a	STATUS	n/a	n/a	S111
166.0240000000	n/a	n/a	STATUS	n/a	n/a	S111
171.3560000000	n/a	n/a	STATUS	n/a	n/a	S111
177.1920000000	n/a	n/a	STATUS	n/a	n/a	S111
182.6000000000	n/a	n/a	STATUS	n/a	n/a	S111
217.6260000000	n/a	n/a	STATUS	n/a	n/a	S 14
219.1840000000	n/a	n/a	Right Button	n/a	n/a	S 20
220.1140000000	n/a	n/a	STATUS	n/a	n/a	S201
221.0480000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
223.8980000000	n/a	n/a	STATUS	n/a	n/a	S 14
224.9120000000	n/a	n/a	Right Button	n/a	n/a	S 20
226.0380000000	n/a	n/a	STATUS	n/a	n/a	S201
226.8920000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
230.2120000000	n/a	n/a	STATUS	n/a	n/a	S 12
231.1760000000	n/a	n/a	Left Button	n/a	n/a	S 10
232.6920000000	n/a	n/a	STATUS	n/a	n/a	S200
233.5260000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
236.7900000000	n/a	n/a	STATUS	n/a	n/a	S 14
238.0000000000	n/a	n/a	Right Button	n/a	n/a	S 20
239.4400000000	n/a	n/a	STATUS	n/a	n/a	S201
240.2520000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
243.0060000000	n/a	n/a	STATUS	n/a	n/a	S 11
244.2640000000	n/a	n/a	Left Button	n/a	n/a	S 10
245.1740000000	n/a	n/a	STATUS	n/a	n/a	S200
246.1580000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
248.6980000000	n/a	n/a	STATUS	n/a	n/a	S 13
250.0100000000	n/a	n/a	Right Button	n/a	n/a	S 20
250.8780000000	n/a	n/a	STATUS	n/a	n/a	S201
251.8100000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
254.8940000000	n/a	n/a	STATUS	n/a	n/a	S 11
255.7660000000	n/a	n/a	Left Button	n/a	n/a	S 10
257.1300000000	n/a	n/a	STATUS	n/a	n/a	S200
258.0120000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
