onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
58.7300000000	n/a	n/a	STATUS	n/a	n/a	S111
62.9140000000	n/a	n/a	STATUS	n/a	n/a	S111
66.5980000000	n/a	n/a	STATUS	n/a	n/a	S111
108.8460000000	n/a	n/a	STATUS	n/a	n/a	S111
112.1900000000	n/a	n/a	STATUS	n/a	n/a	S111
115.6060000000	n/a	n/a	STATUS	n/a	n/a	S111
119.4540000000	n/a	n/a	STATUS	n/a	n/a	S111
123.3540000000	n/a	n/a	STATUS	n/a	n/a	S111
127.3020000000	n/a	n/a	STATUS	n/a	n/a	S111
131.3500000000	n/a	n/a	STATUS	n/a	n/a	S111
134.9100000000	n/a	n/a	STATUS	n/a	n/a	S111
138.8460000000	n/a	n/a	STATUS	n/a	n/a	S111
142.4220000000	n/a	n/a	STATUS	n/a	n/a	S111
170.7940000000	n/a	n/a	STATUS	n/a	n/a	S111
175.4560000000	n/a	n/a	STATUS	n/a	n/a	S111
180.3480000000	n/a	n/a	STATUS	n/a	n/a	S111
184.7320000000	n/a	n/a	STATUS	n/a	n/a	S111
189.3840000000	n/a	n/a	STATUS	n/a	n/a	S111
194.6000000000	n/a	n/a	STATUS	n/a	n/a	S111
199.5520000000	n/a	n/a	STATUS	n/a	n/a	S111
204.4880000000	n/a	n/a	STATUS	n/a	n/a	S111
230.9820000000	n/a	n/a	STATUS	n/a	n/a	S 14
234.5480000000	n/a	n/a	Right Button	n/a	n/a	S 20
235.4820000000	n/a	n/a	STATUS	n/a	n/a	S201
236.3940000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
239.6000000000	n/a	n/a	STATUS	n/a	n/a	S 12
240.8520000000	n/a	n/a	Right Button	n/a	n/a	S 20
242.3140000000	n/a	n/a	STATUS	n/a	n/a	S200
243.2580000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
246.2320000000	n/a	n/a	STATUS	n/a	n/a	S 14
247.2200000000	n/a	n/a	Left Button	n/a	n/a	S 10
248.4820000000	n/a	n/a	STATUS	n/a	n/a	S201
249.5160000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
252.5000000000	n/a	n/a	STATUS	n/a	n/a	S 12
253.4480000000	n/a	n/a	Right Button	n/a	n/a	S 20
254.8120000000	n/a	n/a	STATUS	n/a	n/a	S200
255.7660000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
258.4080000000	n/a	n/a	STATUS	n/a	n/a	S 12
259.1280000000	n/a	n/a	Right Button	n/a	n/a	S 20
260.0680000000	n/a	n/a	STATUS	n/a	n/a	S200
260.9020000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
264.2400000000	n/a	n/a	STATUS	n/a	n/a	S 11
265.4320000000	n/a	n/a	Left Button	n/a	n/a	S 10
266.9480000000	n/a	n/a	STATUS	n/a	n/a	S200
