onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
67.2680000000	n/a	n/a	STATUS	n/a	n/a	S111
70.5120000000	n/a	n/a	STATUS	n/a	n/a	S111
74.3000000000	n/a	n/a	STATUS	n/a	n/a	S111
111.7080000000	n/a	n/a	STATUS	n/a	n/a	S111
115.3840000000	n/a	n/a	STATUS	n/a	n/a	S111
119.2640000000	n/a	n/a	STATUS	n/a	n/a	S111
123.0760000000	n/a	n/a	STATUS	n/a	n/a	S111
126.4680000000	n/a	n/a	STATUS	n/a	n/a	S111
129.8920000000	n/a	n/a	STATUS	n/a	n/a	S111
133.5600000000	n/a	n/a	STATUS	n/a	n/a	S111
137.1560000000	n/a	n/a	STATUS	n/a	n/a	S111
140.3320000000	n/a	n/a	STATUS	n/a	n/a	S111
143.6160000000	n/a	n/a	STATUS	n/a	n/a	S111
180.9900000000	n/a	n/a	STATUS	n/a	n/a	S111
185.3980000000	n/a	n/a	STATUS	n/a	n/a	S111
190.0580000000	n/a	n/a	STATUS	n/a	n/a	S111
195.3500000000	n/a	n/a	STATUS	n/a	n/a	S111
200.2220000000	n/a	n/a	STATUS	n/a	n/a	S111
204.8740000000	n/a	n/a	STATUS	n/a	n/a	S111
209.4100000000	n/a	n/a	STATUS	n/a	n/a	S111
214.2540000000	n/a	n/a	STATUS	n/a	n/a	S111
248.2580000000	n/a	n/a	STATUS	n/a	n/a	S 12
248.9940000000	n/a	n/a	Left Button	n/a	n/a	S 10
250.1060000000	n/a	n/a	STATUS	n/a	n/a	S200
250.9200000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
254.0840000000	n/a	n/a	STATUS	n/a	n/a	S 13
254.6180000000	n/a	n/a	Right Button	n/a	n/a	S 20
255.9420000000	n/a	n/a	STATUS	n/a	n/a	S201
256.8740000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
259.9540000000	n/a	n/a	STATUS	n/a	n/a	S 12
260.3140000000	n/a	n/a	Left Button	n/a	n/a	S 10
261.6700000000	n/a	n/a	STATUS	n/a	n/a	S200
262.6040000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
265.7740000000	n/a	n/a	STATUS	n/a	n/a	S 14
266.5340000000	n/a	n/a	Right Button	n/a	n/a	S 20
267.9820000000	n/a	n/a	STATUS	n/a	n/a	S201
268.7960000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
271.8060000000	n/a	n/a	STATUS	n/a	n/a	S 12
272.3260000000	n/a	n/a	Left Button	n/a	n/a	S 10
273.4900000000	n/a	n/a	STATUS	n/a	n/a	S200
274.3940000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
277.4420000000	n/a	n/a	STATUS	n/a	n/a	S 14
278.0700000000	n/a	n/a	Right Button	n/a	n/a	S 20
279.3620000000	n/a	n/a	STATUS	n/a	n/a	S201
280.4040000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
283.0320000000	n/a	n/a	STATUS	n/a	n/a	S 11
283.9060000000	n/a	n/a	Right Button	n/a	n/a	S 20
284.9220000000	n/a	n/a	STATUS	n/a	n/a	S200
285.9140000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
289.0500000000	n/a	n/a	STATUS	n/a	n/a	S 13
289.8900000000	n/a	n/a	Left Button	n/a	n/a	S 10
291.3620000000	n/a	n/a	STATUS	n/a	n/a	S201
292.2160000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
295.5260000000	n/a	n/a	STATUS	n/a	n/a	S 14
296.1540000000	n/a	n/a	Right Button	n/a	n/a	S 20
297.6620000000	n/a	n/a	STATUS	n/a	n/a	S201
298.5560000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
301.6480000000	n/a	n/a	STATUS	n/a	n/a	S 14
302.2380000000	n/a	n/a	Right Button	n/a	n/a	S 20
303.5680000000	n/a	n/a	STATUS	n/a	n/a	S201
