onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
32.2580000000	n/a	n/a	STATUS	n/a	n/a	S111
37.0860000000	n/a	n/a	STATUS	n/a	n/a	S111
40.8500000000	n/a	n/a	STATUS	n/a	n/a	S111
82.1060000000	n/a	n/a	STATUS	n/a	n/a	S111
85.8620000000	n/a	n/a	STATUS	n/a	n/a	S111
89.5740000000	n/a	n/a	STATUS	n/a	n/a	S111
93.0540000000	n/a	n/a	STATUS	n/a	n/a	S111
96.6580000000	n/a	n/a	STATUS	n/a	n/a	S111
100.1860000000	n/a	n/a	STATUS	n/a	n/a	S111
103.8220000000	n/a	n/a	STATUS	n/a	n/a	S111
107.7420000000	n/a	n/a	STATUS	n/a	n/a	S111
111.3860000000	n/a	n/a	STATUS	n/a	n/a	S111
115.2460000000	n/a	n/a	STATUS	n/a	n/a	S111
144.6280000000	n/a	n/a	STATUS	n/a	n/a	S111
149.6160000000	n/a	n/a	STATUS	n/a	n/a	S111
154.6240000000	n/a	n/a	STATUS	n/a	n/a	S111
160.1560000000	n/a	n/a	STATUS	n/a	n/a	S111
164.5880000000	n/a	n/a	STATUS	n/a	n/a	S111
169.6560000000	n/a	n/a	STATUS	n/a	n/a	S111
174.6840000000	n/a	n/a	STATUS	n/a	n/a	S111
179.6680000000	n/a	n/a	STATUS	n/a	n/a	S111
214.9520000000	n/a	n/a	STATUS	n/a	n/a	S 11
215.8280000000	n/a	n/a	Left Button	n/a	n/a	S 10
217.1880000000	n/a	n/a	STATUS	n/a	n/a	S200
218.0880000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
220.7900000000	n/a	n/a	STATUS	n/a	n/a	S 11
221.3080000000	n/a	n/a	Left Button	n/a	n/a	S 10
222.2420000000	n/a	n/a	STATUS	n/a	n/a	S200
223.1600000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
226.4280000000	n/a	n/a	STATUS	n/a	n/a	S 13
226.9520000000	n/a	n/a	Right Button	n/a	n/a	S 20
228.4640000000	n/a	n/a	STATUS	n/a	n/a	S201
229.3800000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
232.4320000000	n/a	n/a	STATUS	n/a	n/a	S 11
233.1800000000	n/a	n/a	Left Button	n/a	n/a	S 10
234.4680000000	n/a	n/a	STATUS	n/a	n/a	S200
235.4520000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
238.3380000000	n/a	n/a	STATUS	n/a	n/a	S 11
238.9000000000	n/a	n/a	Left Button	n/a	n/a	S 10
240.0880000000	n/a	n/a	STATUS	n/a	n/a	S200
241.0720000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
243.6240000000	n/a	n/a	STATUS	n/a	n/a	S 14
244.4360000000	n/a	n/a	Right Button	n/a	n/a	S 20
245.2920000000	n/a	n/a	STATUS	n/a	n/a	S201
246.2260000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
248.8120000000	n/a	n/a	STATUS	n/a	n/a	S 11
249.3880000000	n/a	n/a	Left Button	n/a	n/a	S 10
250.2300000000	n/a	n/a	STATUS	n/a	n/a	S200
251.0640000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
254.0000000000	n/a	n/a	STATUS	n/a	n/a	S 12
254.7760000000	n/a	n/a	Right Button	n/a	n/a	S 20
255.8680000000	n/a	n/a	STATUS	n/a	n/a	S200
256.7020000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
259.9880000000	n/a	n/a	STATUS	n/a	n/a	S 14
