onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
77.4260000000	n/a	n/a	STATUS	n/a	n/a	S111
87.8600000000	n/a	n/a	STATUS	n/a	n/a	S111
96.0240000000	n/a	n/a	STATUS	n/a	n/a	S111
135.4040000000	n/a	n/a	STATUS	n/a	n/a	S111
139.3320000000	n/a	n/a	STATUS	n/a	n/a	S111
143.1160000000	n/a	n/a	STATUS	n/a	n/a	S111
147.4440000000	n/a	n/a	STATUS	n/a	n/a	S111
151.6520000000	n/a	n/a	STATUS	n/a	n/a	S111
157.0360000000	n/a	n/a	STATUS	n/a	n/a	S111
161.9760000000	n/a	n/a	STATUS	n/a	n/a	S111
165.4720000000	n/a	n/a	STATUS	n/a	n/a	S111
169.4520000000	n/a	n/a	STATUS	n/a	n/a	S111
173.1760000000	n/a	n/a	STATUS	n/a	n/a	S111
205.2600000000	n/a	n/a	STATUS	n/a	n/a	S111
210.7800000000	n/a	n/a	STATUS	n/a	n/a	S111
216.3840000000	n/a	n/a	STATUS	n/a	n/a	S111
222.4440000000	n/a	n/a	STATUS	n/a	n/a	S111
228.3400000000	n/a	n/a	STATUS	n/a	n/a	S111
234.2040000000	n/a	n/a	STATUS	n/a	n/a	S111
239.3700000000	n/a	n/a	STATUS	n/a	n/a	S111
245.7760000000	n/a	n/a	STATUS	n/a	n/a	S111
280.0520000000	n/a	n/a	STATUS	n/a	n/a	S 11
283.8380000000	n/a	n/a	Left Button	n/a	n/a	S 10
285.0480000000	n/a	n/a	STATUS	n/a	n/a	S200
286.0900000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
289.2340000000	n/a	n/a	STATUS	n/a	n/a	S 11
291.1420000000	n/a	n/a	Right Button	n/a	n/a	S 20
292.6740000000	n/a	n/a	STATUS	n/a	n/a	S200
293.7280000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
296.8560000000	n/a	n/a	STATUS	n/a	n/a	S 14
298.6420000000	n/a	n/a	Right Button	n/a	n/a	S 20
300.1660000000	n/a	n/a	STATUS	n/a	n/a	S201
301.0500000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
303.6680000000	n/a	n/a	STATUS	n/a	n/a	S 13
305.3740000000	n/a	n/a	Right Button	n/a	n/a	S 20
306.2180000000	n/a	n/a	STATUS	n/a	n/a	S201
307.2720000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
309.9700000000	n/a	n/a	STATUS	n/a	n/a	S 11
311.3700000000	n/a	n/a	Left Button	n/a	n/a	S 10
312.4660000000	n/a	n/a	STATUS	n/a	n/a	S200
313.3000000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
316.0940000000	n/a	n/a	STATUS	n/a	n/a	S 12
318.2620000000	n/a	n/a	Left Button	n/a	n/a	S 10
319.2320000000	n/a	n/a	STATUS	n/a	n/a	S200
320.1640000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
323.2280000000	n/a	n/a	STATUS	n/a	n/a	S 12
325.5140000000	n/a	n/a	Right Button	n/a	n/a	S 20
326.8560000000	n/a	n/a	STATUS	n/a	n/a	S200
327.7300000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
330.3680000000	n/a	n/a	STATUS	n/a	n/a	S 14
332.2860000000	n/a	n/a	Right Button	n/a	n/a	S 20
333.1440000000	n/a	n/a	STATUS	n/a	n/a	S201
334.1760000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
336.9300000000	n/a	n/a	STATUS	n/a	n/a	S 13
339.6180000000	n/a	n/a	Left Button	n/a	n/a	S 10
340.7500000000	n/a	n/a	STATUS	n/a	n/a	S201
341.5720000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
344.3520000000	n/a	n/a	STATUS	n/a	n/a	S 12
346.8580000000	n/a	n/a	Right Button	n/a	n/a	S 20
347.8060000000	n/a	n/a	STATUS	n/a	n/a	S200
348.6380000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
351.6660000000	n/a	n/a	STATUS	n/a	n/a	S 14
353.2700000000	n/a	n/a	Left Button	n/a	n/a	S 10
354.4780000000	n/a	n/a	STATUS	n/a	n/a	S201
355.3700000000	n/a	n/a	FB: LOSE ALCOHOL	n/a	n/a	S104
358.1820000000	n/a	n/a	STATUS	n/a	n/a	S 11
359.2780000000	n/a	n/a	Right Button	n/a	n/a	S 20
360.3280000000	n/a	n/a	STATUS	n/a	n/a	S200
361.2500000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
364.3340000000	n/a	n/a	STATUS	n/a	n/a	S 12
366.0900000000	n/a	n/a	Left Button	n/a	n/a	S 10
367.4420000000	n/a	n/a	STATUS	n/a	n/a	S200
368.4040000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
371.2020000000	n/a	n/a	STATUS	n/a	n/a	S 11
372.2660000000	n/a	n/a	Right Button	n/a	n/a	S 20
373.3700000000	n/a	n/a	STATUS	n/a	n/a	S200
374.2720000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
376.9040000000	n/a	n/a	STATUS	n/a	n/a	S 14
378.1780000000	n/a	n/a	Right Button	n/a	n/a	S 20
379.0580000000	n/a	n/a	STATUS	n/a	n/a	S201
379.9700000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
383.1560000000	n/a	n/a	STATUS	n/a	n/a	S 14
383.9180000000	n/a	n/a	Right Button	n/a	n/a	S 20
385.3620000000	n/a	n/a	STATUS	n/a	n/a	S201
386.2040000000	n/a	n/a	FB: WIN ALCOHOL	n/a	n/a	S103
389.2500000000	n/a	n/a	STATUS	n/a	n/a	S 12
390.0820000000	n/a	n/a	Left Button	n/a	n/a	S 10
391.3160000000	n/a	n/a	STATUS	n/a	n/a	S200
392.1880000000	n/a	n/a	FB: WIN PUPPY	n/a	n/a	S101
395.0120000000	n/a	n/a	STATUS	n/a	n/a	S 12
395.8500000000	n/a	n/a	Left Button	n/a	n/a	S 10
396.8920000000	n/a	n/a	STATUS	n/a	n/a	S200
397.8640000000	n/a	n/a	FB: LOSE PUPPY	n/a	n/a	S102
400.8640000000	n/a	n/a	STATUS	n/a	n/a	S 12
402.0980000000	n/a	n/a	Left Button	n/a	n/a	S 10
403.4140000000	n/a	n/a	STATUS	n/a	n/a	S200
